UniProt1	UniProt2	symbol1	symbol2	evidence type	glioblastoma multiforme
P00533	Q14155	EGFR	ARHGEF7	exp;ortho;pred	1
P00533	P16070	EGFR	CD44	exp;pred	1
P00533	P42574	EGFR	CASP3	exp	1
P00533	P11021	EGFR	HSPA5	exp	1
P00533	P09429	EGFR	HMGB1	exp	1
P00533	P26441	EGFR	CNTF	exp	1
P00533	P26447	EGFR	S100A4	exp;pred	1
P00533	P31749	EGFR	AKT1	exp;pred	1
P00533	P15514	EGFR	AREG	exp;pred	1
P00533	P0DMV8	EGFR	HSPA1A	exp	1
P00533	P09211	EGFR	GSTP1	exp	1
P00533	P21359	EGFR	NF1	exp	1
P00533	P53350	EGFR	PLK1	exp;pred	1
P00533	P52789	EGFR	HK2	exp	1
P00533	P0DP23	EGFR	CALM1	exp	1
P00533	P53985	EGFR	SLC16A1	exp	1
P00533	P10644	EGFR	PRKAR1A	exp	1
P00533	P10599	EGFR	TXN	exp	1
P00533	P17096	EGFR	HMGA1	exp	1
P00533	P27986	EGFR	PIK3R1	exp;pred	1
P00533	P46937	EGFR	YAP1	exp	1
P00533	Q99962	EGFR	SH3GL2	exp;pred	1
P00533	P15104	EGFR	GLUL	exp	1
P00533	P04626	EGFR	ERBB2	exp;ortho;pred	1
P00533	P28799	EGFR	GRN	exp;pred	1
P00533	Q13546	EGFR	RIPK1	exp;pred	1
P00533	P50281	EGFR	MMP14	exp;pred	1
P00533	P48735	EGFR	IDH2	exp	1
P00533	Q92529	EGFR	SHC3	exp;ortho;pred	1
P00533	Q13153	EGFR	PAK1	exp;pred	1
P00533	Q92974	EGFR	ARHGEF2	exp	1
P00533	P25445	EGFR	FAS	exp;pred	1
P00533	Q13489	EGFR	BIRC3	exp	1
P00533	P0DMV9	EGFR	HSPA1B	exp	1
P00533	Q93008	EGFR	USP9X	exp	1
P00533	P42229	EGFR	STAT5A	exp;pred	1
P00533	P98170	EGFR	XIAP	exp	1
P00533	P14618	EGFR	PKM	exp	1
P00533	P04049	EGFR	RAF1	exp;pred	1
P00533	P34932	EGFR	HSPA4	exp;pred	1
P00533	P00533	EGFR	EGFR	exp;ortho	1
P00533	P01133	EGFR	EGF	exp;ortho;pred	1
P00533	P29279	EGFR	CTGF	exp;pred	1
P00533	P19367	EGFR	HK1	exp	1
P00533	Q9NR45	EGFR	NANS	exp	1
P00533	P28482	EGFR	MAPK1	exp;pred	1
P00533	P05067	EGFR	APP	exp;pred	1
P00533	P40763	EGFR	STAT3	exp;pred	1
P00533	Q14764	EGFR	MVP	exp	1
P00533	P16104	EGFR	H2AFX	exp;pred	1
P00533	Q12933	EGFR	TRAF2	exp;pred	1
P00533	P03372	EGFR	ESR1	exp;pred	1
P00533	P08195	EGFR	SLC3A2	exp;pred	1
P00533	P50570	EGFR	DNM2	exp;pred	1
P00533	P11279	EGFR	LAMP1	exp	1
P00533	P07355	EGFR	ANXA2	exp	1
P00533	P16144	EGFR	ITGB4	exp;pred	1
P00533	P18085	EGFR	ARF4	exp;pred	1
P00533	Q9Y2S7	EGFR	POLDIP2	exp	1
P00533	Q13480	EGFR	GAB1	exp;pred	1
P00533	Q9UQ35	EGFR	SRRM2	exp	1
P00533	P58004	EGFR	SESN2	exp	1
P00533	P23468	EGFR	PTPRD	exp;pred	1
P00533	P55210	EGFR	CASP7	exp	1
P00533	Q96JB1	EGFR	DNAH8	exp	1
P00533	P30711	EGFR	GSTT1	exp	1
P00533	P12004	EGFR	PCNA	exp;pred	1
P00533	P08581	EGFR	MET	exp;pred	1
P00533	Q08881	EGFR	ITK	exp;pred	1
P00533	Q9UJM3	EGFR	ERRFI1	exp;pred	1
P00533	P04406	EGFR	GAPDH	exp;pred	1
P00533	Q05397	EGFR	PTK2	exp;pred	1
P00533	P07585	EGFR	DCN	exp;pred	1
P00533	Q07889	EGFR	SOS1	exp;ortho;pred	1
P00533	Q05513	EGFR	PRKCZ	exp;pred	1
P00533	Q16875	EGFR	PFKFB3	exp	1
P00533	P05362	EGFR	ICAM1	exp;pred	1
P00533	P60484	EGFR	PTEN	exp;pred	1
P00533	P31751	EGFR	AKT2	exp;pred	1
P00533	Q13740	EGFR	ALCAM	exp	1
P00533	P46108	EGFR	CRK	exp;pred	1
P00533	P06748	EGFR	NPM1	exp	1
P00533	P56945	EGFR	BCAR1	exp;pred	1
P00533	Q03135	EGFR	CAV1	exp;pred	1
P00533	P24666	EGFR	ACP1	exp;pred	1
P00533	P17676	EGFR	CEBPB	exp	1
P00533	P14174	EGFR	MIF	exp	1
P00533	P04792	EGFR	HSPB1	exp;pred	1
P00533	P13591	EGFR	NCAM1	exp;pred	1
P00533	P02751	EGFR	FN1	exp;pred	1
P00533	P45983	EGFR	MAPK8	exp;pred	1
P00533	P27797	EGFR	CALR	exp	1
P00533	P07992	EGFR	ERCC1	exp	1
P00533	P06396	EGFR	GSN	exp;pred	1
P00533	P01100	EGFR	FOS	exp;pred	1
P00533	P49902	EGFR	NT5C2	exp	1
P00533	Q06124	EGFR	PTPN11	exp;ortho;pred	1
P00533	P35240	EGFR	NF2	exp;pred	1
P00533	P08670	EGFR	VIM	exp;pred	1
P00533	Q16539	EGFR	MAPK14	exp;ortho	1
P00533	P53999	EGFR	SUB1	exp	1
P00533	P37231	EGFR	PPARG	exp	1
P00533	P51692	EGFR	STAT5B	exp;pred	1
P00533	Q14123	EGFR	PDE1C	exp	1
P00533	P45984	EGFR	MAPK9	exp;pred	1
P00533	P29317	EGFR	EPHA2	exp;pred	1
P00533	Q9UNL4	EGFR	ING4	exp	1
P00533	P24821	EGFR	TNC	exp;pred	1
P00533	P21860	EGFR	ERBB3	exp;pred	1
P00533	P18065	EGFR	IGFBP2	exp	1
P00533	P06493	EGFR	CDK1	exp;pred	1
P00533	P42224	EGFR	STAT1	exp;pred	1
P00533	P29590	EGFR	PML	exp	1
P00533	P42338	EGFR	PIK3CB	exp;pred	1
P00533	P19338	EGFR	NCL	exp	1
P00533	P17936	EGFR	IGFBP3	exp	1
P00533	Q13509	EGFR	TUBB3	exp	1
P00533	P42345	EGFR	MTOR	exp;pred	1
P00533	Q06830	EGFR	PRDX1	exp	1
P00533	P09382	EGFR	LGALS1	exp	1
P00533	P12931	EGFR	SRC	exp;ortho;pred	1
P00533	P68400	EGFR	CSNK2A1	exp;pred	1
P00533	P09874	EGFR	PARP1	exp	1
P00533	Q15118	EGFR	PDK1	exp	1
P00533	P42677	EGFR	RPS27	exp	1
P00533	P16234	EGFR	PDGFRA	exp;pred	1
P01106	P25440	MYC	BRD2	exp	1
P01106	P24394	MYC	IL4R	exp	1
P01106	P40692	MYC	MLH1	exp;pred	1
P01106	Q9BY76	MYC	ANGPTL4	exp	1
P01106	P19367	MYC	HK1	exp	1
P01106	P27361	MYC	MAPK3	exp;pred	1
P01106	Q9UKB5	MYC	AJAP1	exp	1
P01106	P01584	MYC	IL1B	exp	1
P01106	P06493	MYC	CDK1	exp;pred	1
P01106	P52292	MYC	KPNA2	exp	1
P01106	Q8N3U4	MYC	STAG2	exp	1
P01106	P11802	MYC	CDK4	exp	1
P01106	P14618	MYC	PKM	exp	1
P01106	P40763	MYC	STAT3	exp;pred	1
P01106	P05067	MYC	APP	exp;pred	1
P01106	P01106	MYC	MYC	exp;ortho	1
P01106	P50570	MYC	DNM2	exp	1
P01106	Q06830	MYC	PRDX1	exp;pred	1
P01106	P17676	MYC	CEBPB	exp;ortho;pred	1
P01106	Q00534	MYC	CDK6	exp	1
P01106	Q9NRX1	MYC	PNO1	exp	1
P01106	P10415	MYC	BCL2	exp;ortho;pred	1
P01106	P68400	MYC	CSNK2A1	exp;pred	1
P01106	Q96EB6	MYC	SIRT1	exp;pred	1
P01106	Q86YT6	MYC	MIB1	exp	1
P01106	P15408	MYC	FOSL2	exp	1
P01106	P26599	MYC	PTBP1	exp	1
P01106	P0DMV8	MYC	HSPA1A	exp	1
P01106	Q16236	MYC	NFE2L2	exp;pred	1
P01106	Q8IVS2	MYC	MCAT	exp	1
P01106	P46527	MYC	CDKN1B	exp;ortho;pred	1
P01106	P29590	MYC	PML	exp;pred	1
P01106	P06400	MYC	RB1	exp;pred	1
P01106	Q9BVI0	MYC	PHF20	exp	1
P01106	P19338	MYC	NCL	exp;pred	1
P01106	P08183	MYC	ABCB1	exp	1
P01106	Q16665	MYC	HIF1A	exp;ortho;pred	1
P01106	P0DP23	MYC	CALM1	exp	1
P01106	P07355	MYC	ANXA2	exp	1
P01106	Q93008	MYC	USP9X	exp	1
P01106	P45983	MYC	MAPK8	exp;pred	1
P01106	P11387	MYC	TOP1	exp;pred	1
P01106	Q01196	MYC	RUNX1	exp	1
P01106	P09382	MYC	LGALS1	exp	1
P01106	P28066	MYC	PSMA5	exp	1
P01106	P05412	MYC	JUN	exp;pred	1
P01106	Q15022	MYC	SUZ12	exp	1
P01106	P26358	MYC	DNMT1	exp;pred	1
P01106	Q13526	MYC	PIN1	exp;pred	1
P01106	P15407	MYC	FOSL1	exp	1
P01106	P31260	MYC	HOXA10	exp	1
P01106	Q15796	MYC	SMAD2	exp;pred	1
P01106	P18085	MYC	ARF4	exp	1
P01106	P47985	MYC	UQCRFS1	exp	1
P01106	P53350	MYC	PLK1	exp;pred	1
P01106	Q12824	MYC	SMARCB1	exp;pred	1
P01106	P02751	MYC	FN1	exp	1
P01106	Q96JB1	MYC	DNAH8	exp	1
P01106	Q13509	MYC	TUBB3	exp	1
P01106	Q12888	MYC	TP53BP1	exp	1
P01106	P16104	MYC	H2AFX	exp;pred	1
P01106	P04792	MYC	HSPB1	exp	1
P01106	Q13315	MYC	ATM	exp;pred	1
P01106	P04637	MYC	TP53	exp;pred	1
P01106	Q15910	MYC	EZH2	exp;pred	1
P01106	P38398	MYC	BRCA1	exp;pred	1
P01106	P43246	MYC	MSH2	exp;pred	1
P01106	P28482	MYC	MAPK1	exp;pred	1
P01106	Q9UNL4	MYC	ING4	exp;pred	1
P01106	P52948	MYC	NUP98	exp;pred	1
P01106	P03372	MYC	ESR1	exp;pred	1
P01106	P04198	MYC	MYCN	exp;pred	1
P01106	Q13309	MYC	SKP2	exp;pred	1
P01106	P49841	MYC	GSK3B	exp;pred	1
P01106	P14635	MYC	CCNB1	exp;pred	1
P01106	P38936	MYC	CDKN1A	exp;pred	1
P01106	P20585	MYC	MSH3	exp;pred	1
P01106	Q02548	MYC	PAX5	exp	1
P01106	P52701	MYC	MSH6	exp;pred	1
P01106	Q08050	MYC	FOXM1	exp;pred	1
P01106	P08047	MYC	SP1	exp;pred	1
P01106	P28300	MYC	LOX	exp	1
P01106	Q92974	MYC	ARHGEF2	exp;pred	1
P01106	Q9H8V3	MYC	ECT2	exp	1
P01106	P07900	MYC	HSP90AA1	exp;pred	1
P01106	P50539	MYC	MXI1	exp;pred	1
P01106	Q92831	MYC	KAT2B	exp;pred	1
P01106	P10599	MYC	TXN	exp	1
P01106	P78527	MYC	PRKDC	exp;pred	1
P01106	P04049	MYC	RAF1	exp;pred	1
P01133	P04004	EGF	VTN	exp	1
P01133	P26447	EGF	S100A4	exp	1
P01133	P21860	EGF	ERBB3	exp;pred	1
P01133	P01133	EGF	EGF	exp	1
P01133	P04626	EGF	ERBB2	exp;pred	1
P01133	P36956	EGF	SREBF1	exp	1
P01133	P05067	EGF	APP	exp;pred	1
P01584	P23946	IL1B	CMA1	exp	1
P01584	P01584	IL1B	IL1B	exp	1
P01584	Q9ULZ3	IL1B	PYCARD	exp	1
P01584	P09429	IL1B	HMGB1	exp	1
P01584	P05067	IL1B	APP	exp;pred	1
P01584	P08047	IL1B	SP1	exp;pred	1
P01584	P08253	IL1B	MMP2	exp	1
P01584	P14618	IL1B	PKM	exp	1
P01584	P18146	IL1B	EGR1	exp	1
P02751	P17931	FN1	LGALS3	exp;pred	1
P02751	P50502	FN1	ST13	exp	1
P02751	P0DMV8	FN1	HSPA1A	exp	1
P02751	P08253	FN1	MMP2	exp;pred	1
P02751	P07355	FN1	ANXA2	exp;pred	1
P02751	P68400	FN1	CSNK2A1	exp	1
P02751	P28066	FN1	PSMA5	exp	1
P02751	P09382	FN1	LGALS1	exp;pred	1
P02751	P17936	FN1	IGFBP3	exp;pred	1
P02751	P07900	FN1	HSP90AA1	exp	1
P02751	P09874	FN1	PARP1	exp	1
P02751	P28300	FN1	LOX	exp;pred	1
P02751	P14618	FN1	PKM	exp	1
P02751	P12931	FN1	SRC	exp;pred	1
P02751	P48061	FN1	CXCL12	exp;pred	1
P02751	Q16698	FN1	DECR1	exp	1
P02751	P08670	FN1	VIM	exp;pred	1
P02751	P09211	FN1	GSTP1	exp	1
P02751	P21980	FN1	TGM2	exp;pred	1
P02751	P08648	FN1	ITGA5	exp;ortho;pred	1
P02751	P78527	FN1	PRKDC	exp	1
P02751	Q13155	FN1	AIMP2	exp	1
P02751	P15559	FN1	NQO1	exp	1
P02751	P09429	FN1	HMGB1	exp	1
P02751	Q9ULV4	FN1	CORO1C	exp	1
P02751	P63000	FN1	RAC1	exp	1
P02751	Q15404	FN1	RSU1	exp	1
P02751	P07585	FN1	DCN	exp;pred	1
P02751	P42677	FN1	RPS27	exp	1
P02751	P50570	FN1	DNM2	exp	1
P02751	P06756	FN1	ITGAV	exp;pred	1
P02751	P53999	FN1	SUB1	exp	1
P02751	Q13418	FN1	ILK	exp;pred	1
P02751	P42229	FN1	STAT5A	exp;pred	1
P02751	Q16665	FN1	HIF1A	exp;pred	1
P02751	P24666	FN1	ACP1	exp	1
P02751	P04406	FN1	GAPDH	exp	1
P02751	P04085	FN1	PDGFA	exp;pred	1
P02751	P19338	FN1	NCL	exp	1
P02751	Q9Y4E8	FN1	USP15	exp	1
P02751	P04792	FN1	HSPB1	exp;pred	1
P02751	P09486	FN1	SPARC	exp;pred	1
P02751	P56945	FN1	BCAR1	exp;pred	1
P02751	P02751	FN1	FN1	exp;pred	1
P02751	P0DMV9	FN1	HSPA1B	exp	1
P02751	P24821	FN1	TNC	exp;pred	1
P02751	Q06830	FN1	PRDX1	exp	1
P02751	P14174	FN1	MIF	exp	1
P02751	P08195	FN1	SLC3A2	exp	1
P02751	P06493	FN1	CDK1	exp	1
P02751	P06748	FN1	NPM1	exp;pred	1
P02751	P17096	FN1	HMGA1	exp	1
P02751	P07339	FN1	CTSD	exp;pred	1
P02751	P07996	FN1	THBS1	exp;pred	1
P02751	P05067	FN1	APP	exp	1
P02751	P05412	FN1	JUN	exp;pred	1
P02751	P16070	FN1	CD44	exp;pred	1
P02751	P26599	FN1	PTBP1	exp	1
P02751	P11021	FN1	HSPA5	exp	1
P02751	P12004	FN1	PCNA	exp	1
P02751	P29279	FN1	CTGF	exp;pred	1
P02751	P52292	FN1	KPNA2	exp	1
P02751	Q9BUL8	FN1	PDCD10	exp	1
P02751	P06396	FN1	GSN	exp;pred	1
P02751	P14780	FN1	MMP9	exp;pred	1
P02751	P14210	FN1	HGF	exp;pred	1
P02751	P24593	FN1	IGFBP5	exp;pred	1
P04626	P34932	ERBB2	HSPA4	exp;pred	1
P04626	Q07889	ERBB2	SOS1	exp;pred	1
P04626	P04626	ERBB2	ERBB2	exp;pred	1
P04626	Q9Y251	ERBB2	HPSE	exp	1
P04626	P08069	ERBB2	IGF1R	exp;pred	1
P04626	Q92529	ERBB2	SHC3	exp;pred	1
P04626	Q13526	ERBB2	PIN1	exp	1
P04626	P27986	ERBB2	PIK3R1	exp;ortho;pred	1
P04626	P16144	ERBB2	ITGB4	exp;pred	1
P04626	P42224	ERBB2	STAT1	exp;pred	1
P04626	P08648	ERBB2	ITGA5	exp	1
P04626	P24385	ERBB2	CCND1	exp;ortho;pred	1
P04626	P07355	ERBB2	ANXA2	exp;pred	1
P04626	P29353	ERBB2	SHC1	exp;ortho;pred	1
P04626	P14618	ERBB2	PKM	exp	1
P04626	Q08881	ERBB2	ITK	exp;pred	1
P04626	P51512	ERBB2	MMP16	exp	1
P04626	P21860	ERBB2	ERBB3	exp;ortho;pred	1
P04626	Q13153	ERBB2	PAK1	exp;pred	1
P04626	P07900	ERBB2	HSP90AA1	exp;pred	1
P04626	P06756	ERBB2	ITGAV	exp;pred	1
P04626	Q05397	ERBB2	PTK2	exp;pred	1
P04626	P35354	ERBB2	PTGS2	exp	1
P04626	P35240	ERBB2	NF2	exp;pred	1
P04626	Q14289	ERBB2	PTK2B	exp;pred	1
P04626	P23471	ERBB2	PTPRZ1	exp;pred	1
P04626	P11021	ERBB2	HSPA5	exp	1
P04626	P24394	ERBB2	IL4R	exp	1
P04626	P08195	ERBB2	SLC3A2	exp;pred	1
P04626	P46108	ERBB2	CRK	exp;pred	1
P04626	Q03135	ERBB2	CAV1	exp;pred	1
P04626	Q9UKW4	ERBB2	VAV3	exp;pred	1
P04626	Q14627	ERBB2	IL13RA2	exp	1
P04626	P40763	ERBB2	STAT3	exp;ortho;pred	1
P04626	Q9UJM3	ERBB2	ERRFI1	exp;pred	1
P04626	P12931	ERBB2	SRC	exp;pred	1
P04626	P16070	ERBB2	CD44	exp;pred	1
P04626	Q06124	ERBB2	PTPN11	exp;pred	1
P04626	P56945	ERBB2	BCAR1	exp;pred	1
P04626	P50570	ERBB2	DNM2	exp	1
P07858	P38936	CTSB	CDKN1A	exp	1
P07858	P09874	CTSB	PARP1	exp	1
P07858	P20073	CTSB	ANXA7	exp	1
P07858	P56945	CTSB	BCAR1	exp	1
P07858	P40692	CTSB	MLH1	exp	1
P07858	Q9NYA1	CTSB	SPHK1	exp;pred	1
P07858	Q16082	CTSB	HSPB2	exp	1
P07858	P07858	CTSB	CTSB	exp;pred	1
P08253	P50281	MMP2	MMP14	exp;pred	1
P08253	Q99727	MMP2	TIMP4	exp;pred	1
P08253	P08253	MMP2	MMP2	exp	1
P08253	P48061	MMP2	CXCL12	exp;pred	1
P08253	Q08629	MMP2	SPOCK1	exp	1
P08253	P56817	MMP2	BACE1	exp	1
P08253	P17936	MMP2	IGFBP3	exp	1
P08253	P17931	MMP2	LGALS3	exp;pred	1
P08253	Q96GW7	MMP2	BCAN	exp	1
P08253	P35625	MMP2	TIMP3	exp;pred	1
P08253	P29323	MMP2	EPHB2	exp	1
P08253	P16035	MMP2	TIMP2	exp;pred	1
P08253	P39060	MMP2	COL18A1	exp;pred	1
P08581	Q9HBL0	MET	TNS1	exp	1
P08581	Q92529	MET	SHC3	exp;pred	1
P08581	P14210	MET	HGF	exp;pred	1
P08581	P16070	MET	CD44	exp	1
P08581	P35968	MET	KDR	exp;pred	1
P08581	P27986	MET	PIK3R1	exp;pred	1
P08581	Q13480	MET	GAB1	exp;pred	1
P08581	Q08881	MET	ITK	exp;pred	1
P08581	P25445	MET	FAS	exp;pred	1
P08581	P29353	MET	SHC1	exp;pred	1
P08581	P12931	MET	SRC	exp;pred	1
P08581	P40763	MET	STAT3	exp;pred	1
P08581	P16144	MET	ITGB4	exp;pred	1
P08581	Q9UKW4	MET	VAV3	exp;pred	1
P08581	P08581	MET	MET	exp	1
P08581	Q06124	MET	PTPN11	exp;pred	1
P08581	P42574	MET	CASP3	exp	1
P08581	P46108	MET	CRK	exp;pred	1
P08581	P34932	MET	HSPA4	exp	1
P08581	P21860	MET	ERBB3	exp;pred	1
P08581	Q07889	MET	SOS1	exp;pred	1
P08581	P14618	MET	PKM	exp	1
P10145	Q86UE4	CXCL8	MTDH	exp	1
P10145	P17676	CXCL8	CEBPB	exp;pred	1
P10145	P10145	CXCL8	CXCL8	exp;pred	1
P10145	P25025	CXCL8	CXCR2	exp;pred	1
P10145	Q99612	CXCL8	KLF6	exp	1
P10145	P25024	CXCL8	CXCR1	exp;pred	1
P10145	P14780	CXCL8	MMP9	exp;pred	1
P10145	P39900	CXCL8	MMP12	exp;pred	1
P14780	P15514	MMP9	AREG	exp	1
P14780	P14780	MMP9	MMP9	exp	1
P14780	P17931	MMP9	LGALS3	exp;pred	1
P14780	P29323	MMP9	EPHB2	exp	1
P14780	P39060	MMP9	COL18A1	exp	1
P14780	P16070	MMP9	CD44	exp;pred	1
P14780	P35625	MMP9	TIMP3	exp;pred	1
P15408	P38398	FOSL2	BRCA1	exp;pred	1
P15408	P35638	FOSL2	DDIT3	exp;pred	1
P15408	P42229	FOSL2	STAT5A	exp	1
P15408	P17535	FOSL2	JUND	exp;pred	1
P15408	P51692	FOSL2	STAT5B	exp	1
P15408	P18146	FOSL2	EGR1	exp	1
P15408	P17275	FOSL2	JUNB	exp;pred	1
P15692	P31749	VEGFA	AKT1	exp	1
P15692	P49763	VEGFA	PGF	exp;pred	1
P15692	P35968	VEGFA	KDR	exp;pred	1
P15692	P16220	VEGFA	CREB1	exp	1
P15692	P16234	VEGFA	PDGFRA	exp;pred	1
P15692	Q16665	VEGFA	HIF1A	exp;pred	1
P15692	P29323	VEGFA	EPHB2	exp	1
P15692	P23471	VEGFA	PTPRZ1	exp	1
P15692	P34932	VEGFA	HSPA4	exp	1
P15692	P15692	VEGFA	VEGFA	exp;ortho	1
P15692	P40763	VEGFA	STAT3	exp;ortho;pred	1
P15692	Q16270	VEGFA	IGFBP7	exp;pred	1
P15692	P17948	VEGFA	FLT1	exp;ortho;pred	1
P15692	P29279	VEGFA	CTGF	exp;pred	1
P16104	P26447	H2AFX	S100A4	exp	1
P16104	P38398	H2AFX	BRCA1	exp;pred	1
P16104	P17693	H2AFX	HLA-G	exp	1
P16104	P35625	H2AFX	TIMP3	exp	1
P16104	P19338	H2AFX	NCL	exp;pred	1
P16104	Q06609	H2AFX	RAD51	exp;pred	1
P16104	Q96KB5	H2AFX	PBK	exp	1
P16104	P68400	H2AFX	CSNK2A1	exp;pred	1
P16104	P29590	H2AFX	PML	exp	1
P16104	P16104	H2AFX	H2AFX	exp;pred	1
P16104	P35226	H2AFX	BMI1	exp	1
P16104	P26358	H2AFX	DNMT1	exp	1
P16104	Q13315	H2AFX	ATM	exp;ortho;pred	1
P16104	P78527	H2AFX	PRKDC	exp;pred	1
P16104	Q12888	H2AFX	TP53BP1	exp;ortho;pred	1
P16104	P18887	H2AFX	XRCC1	exp	1
P16104	Q13153	H2AFX	PAK1	exp	1
P16104	Q9NX02	H2AFX	NLRP2	exp	1
P16104	Q8NHL6	H2AFX	LILRB1	exp	1
P16104	P45983	H2AFX	MAPK8	exp	1
P16104	P52926	H2AFX	HMGA2	exp;ortho	1
P16104	Q92831	H2AFX	KAT2B	exp;pred	1
P16104	P27797	H2AFX	CALR	exp;pred	1
P16104	Q16665	H2AFX	HIF1A	exp	1
P16104	P40692	H2AFX	MLH1	exp;pred	1
P16104	P21246	H2AFX	PTN	exp	1
P16104	P16278	H2AFX	GLB1	exp	1
P16234	P42229	PDGFRA	STAT5A	exp;pred	1
P16234	Q9BXY0	PDGFRA	MAK16	exp	1
P16234	Q12778	PDGFRA	FOXO1	exp	1
P16234	P50570	PDGFRA	DNM2	exp	1
P16234	Q03135	PDGFRA	CAV1	exp	1
P16234	P27986	PDGFRA	PIK3R1	exp;pred	1
P16234	P51692	PDGFRA	STAT5B	exp;pred	1
P16234	P46108	PDGFRA	CRK	exp;pred	1
P16234	P42336	PDGFRA	PIK3CA	exp	1
P16234	P60484	PDGFRA	PTEN	exp;pred	1
P16234	P16234	PDGFRA	PDGFRA	exp;pred	1
P16234	P40763	PDGFRA	STAT3	exp;pred	1
P16234	Q06124	PDGFRA	PTPN11	exp;pred	1
P16234	P42224	PDGFRA	STAT1	exp;pred	1
P16455	P68400	MGMT	CSNK2A1	exp	1
P16455	P78527	MGMT	PRKDC	exp	1
P16455	P38936	MGMT	CDKN1A	exp	1
P16455	P24941	MGMT	CDK2	exp	1
P16455	P43246	MGMT	MSH2	exp	1
P16455	P17252	MGMT	PRKCA	exp	1
P16455	P19338	MGMT	NCL	exp	1
P16455	P24723	MGMT	PRKCH	exp	1
P17252	P24723	PRKCA	PRKCH	exp;pred	1
